sku,part_name,manufacturer_reference,model_reference,oem_part_number,oem_number_status,configuration_or_variant,source_title,source_url,source_type,evidence_notes,reviewed_on,approved_for_publication
PGE-STK-036,Belt Guard,Korsch,BB2,D-200-345-13,verified,,PharmParts product listing; Natoli current machine-parts print catalog,https://pharmparts.com/products/belt-guard-for-stokes-bb2-oem-part-d-200-345-13,two-source exact name/model/OEM match,Exact or normalized-exact part name and model match. OEM D-200-345-13 is independently corroborated in the Natoli catalog index at https://store.natoli.com/catalogs/. No third-party replacement number is published.,2026-08-31,yes
PGE-STK-037,Rear Guard Apron - 3 Point,Korsch,BB2,F-281-781-6,verified,,PharmParts product listing; Natoli current machine-parts print catalog,https://pharmparts.com/products/rear-guard-apron-3-point-for-stokes-bb2-oem-part-f-281-781-6,two-source exact name/model/OEM match,Exact or normalized-exact part name and model match. OEM F-281-781-6 is independently corroborated in the Natoli catalog index at https://store.natoli.com/catalogs/. No third-party replacement number is published.,2026-08-31,yes
PGE-STK-038,Weight Adjuster Cam,Korsch,BB2,,unresolved,,Natoli current catalog; PharmParts product listing,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,conflicting secondary sources,Current Natoli catalog OEM field conflicts with the separately sourced PharmParts number; publication withheld pending primary-source confirmation.,2026-08-31,no
PGE-STK-039,Hopper,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,"Exact name occurs in the catalog, but only under a model that conflicts with the retained record model; no OEM number published.",2026-08-31,no
PGE-STK-040,Clutch Plate Assembly Shaft Bearings,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-041,Full Oval Punch Set Ipt B,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-042,Inverter Ready Tablet Press Motor,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-043,Large Feeder Paddle,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-044,Shaft,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-045,Tablet Press Electric Motor,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-046,Oil Reservoir Housing,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
PGE-STK-047,Tall Cylindrical Hopper,Korsch,Model unresolved,,unresolved,,Natoli current Stokes machine-parts catalog,https://store.natoli.com/wp-content/uploads/stokes-machine-parts-catalog-20260422a-linked.pdf,full catalog-index review,No exact name-and-model catalog row was found in the supplied current manufacturer-specific catalog index; no OEM number published.,2026-08-31,no
